PremiseID,PremisesName,AltPremisesName,Customer,TenancyFloorOrSuite,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123WithRenewableElectricity,GHGEmissionsScope123WithoutRenewableElectricity,GHGEmissionsScope123PerM2WithRenewableElectricity,GHGEmissionsScope123PerM2WithoutRenewableElectricity,EnergyIntensityByM2,EnergyIntensityByRoom,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,WaterStarRatingValue,WaterStarRatingValueNoRW,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterConsumptionPerRoom,WaterConsumptionPerRoomNoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity,ApartmentBuildingsTotalNumberOfApartments,AgedCareTotalBeds,HotelRatedGuestRooms,OfficeRatedArea,ShoppingCentresRatedArea,RatedSiteArea_CL_RL_WC,RatedElectricity,RatedGas,GasAndLPG_REI%,RatedDiesel,Diesel_REI%,REIResult_%,REIResult1dp_%,TotalRenewableElectricity_kWh,NonRenewableElectricity_kWh,NonRenewableElectricity_REI%,OnsitePVCapacity_kW,OnsiteRenewableElectricity_kWh,OnsiteRenewableElectricity_REI%,RETandStateTerritoryTargets_kWh,RETandStateTerritorytargets_REI%,GreenPower_kWh,GreenPower_REI%,OtherVoluntaryPurchases_kWh,OtherVoluntaryPurchases_REI%
10423,Innovation Quarter (iQ),Innovation Quarter (iQ),Charter Hall Limited,,Office,160,Hawkesbury Road,WESTMEAD,NSW,2145,-33.80652450,150.98731193,N67321,Indoor Environment,Base Building,26/05/2024,,,,,,6.00,,,,,,,,,,NO,26/05/2024,,,,,,,,,,,,,,90.20,93.20,95.30,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Piccadilly Tower,Piccadilly Tower,STOCKLAND TRUST MANAGEMENT LIMITED,,Office,133,Castlereagh Street,SYDNEY,NSW,2000,-33.86925119,151.20940945,N67765,Indoor Environment,Base Building,20/07/2024,,,,,,5.00,,,,,,,,,,NO,20/07/2024,,,,,,,,,,,,,,91.00,89.20,39.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10469,83 Pirie Street,83 Pirie Street,Cbus Property Pirie St PL ATF Pirie St Unit Trust,,Office,83,Pirie Street,ADELAIDE,SA,5000,-34.92599455,138.60271138,N68076,Waste,Base Building,17/10/2024,,,,,6.00,,,,,,,,,,,NO,17/10/2024,,,,,,,,,,,,,,,,,,,85.00,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Charter Hall Limited,,Office,68,Pitt Street,SYDNEY,NSW,2000,-33.86605152,151.20904207,N67069,Indoor Environment,Base Building,18/04/2024,,,,,,4.50,,,,,,,,,,NO,18/04/2024,,,,,,,,,,,,,,63.40,95.70,69.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,"1 Margaret Street, Sydney",1 Margaret Street,DEXUS Funds Management Limited as responsible entity for the DEXUS Office Trust,,Office,1,Margaret Street,SYDNEY,NSW,2000,-33.86554952,151.20456400,N67389,Indoor Environment,Base Building,11/07/2024,,,,,,5.00,,,,,,,,,,NO,11/07/2024,,,,,,,,,,,,,,69.40,95.00,83.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,"1 Margaret Street, Sydney","1 Margaret Street, Sydney",DEXUS Funds Management Limited as Responsible Entity for DEXUS Office Trust,,Office,1,Margaret Street,SYDNEY,NSW,2000,-33.86554952,151.20456400,N63989,Waste,Base Building,24/03/2024,,,,,3.00,,,,,,,,,,,NO,24/03/2024,,,,,,,,,,,,,,,,,,,32.00,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,530 Collins Street,530 Collins Street,The GPT Group,,Office,530,Collins Street,Melbourne,VIC,3000,0.00000000,0.00000000,N68035,Waste,Base Building,09/11/2024,,,,,3.00,,,,,,,,,,,NO,09/11/2024,,,,,,,,,,,,,,,,,,,35.00,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Melbourne Central,Melbourne Central,The GPT Group,,Office,360,Elizabeth Street,MELBOURNE,VIC,3000,-37.81095205,144.96193051,N67744,Indoor Environment,Base Building,04/08/2024,,,,,,3.50,,,,,,,,,,NO,04/08/2024,,,,,,,,,,,,,,29.10,89.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,580 George Street,580 George Street,GPT Funds Management Limited,,Office,580,George Street,SYDNEY,NSW,2000,-33.87484944,151.20705170,N65082,Waste,Base Building,16/12/2023,,,,,3.50,,,,,,,,,,,NO,16/12/2023,,,,,,,,,,,,,,,,,,,41.00,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,580 George Street,580 George Street,The GPT Group,,Office,580,George Street,SYDNEY,NSW,2000,-33.87484944,151.20705170,N67749,Indoor Environment,Base Building,27/07/2024,,,,,,5.00,,,,,,,,,,NO,27/07/2024,,,,,,,,,,,,,,71.30,100.00,68.50,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
